threshold,precision,recall,f1,cost_per_active_node,model
0.01,0.24862526578194882,1.0,0.3982384028185555,0.7496159754224271,mlp
0.02,0.2523685192092503,0.9976408139191979,0.402834008097166,0.7360105332455563,mlp
0.03,0.2604053844963639,0.9926275434974934,0.4125758411472697,0.7084339111988882,mlp
0.04,0.27097349436653967,0.9858448835151873,0.42510172939979657,0.6754443712969058,mlp
0.05,0.282673732797675,0.9752285461515777,0.4383035122597747,0.644576110013898,mlp
0.060000000000000005,0.2956379795048517,0.9613683279268652,0.45221251213760577,0.6160485699656206,mlp
0.06999999999999999,0.30922190201729105,0.9492774992627544,0.46648793565683644,0.5889108331504644,mlp
0.08,0.3225970849046988,0.93335299321734,0.4794728071504318,0.5687952600394997,mlp
0.09,0.33723323583577075,0.9180182836921262,0.49326572650926953,0.5491917196986321,mlp
0.09999999999999999,0.3510199404079762,0.903273370687113,0.5055706858133201,0.5341964742886401,mlp
0.11,0.36393244873341374,0.8897080507225007,0.5165653625545759,0.522492868114988,mlp
0.12,0.37604035308953343,0.8793866116189915,0.526808585813974,0.511520737327189,mlp
0.13,0.3893746687864335,0.86670598643468,0.5373434500411373,0.5024504425426084,mlp
0.14,0.4022780941797472,0.8540253612503687,0.5469310670443815,0.4957940165313437,mlp
0.15000000000000002,0.4157010428736964,0.8463580064877617,0.5575522098105876,0.48562650866798335,mlp
0.16,0.4290494296577947,0.8319079917428487,0.5661248244029701,0.4830663448174969,mlp
0.17,0.4406324110671937,0.8218814508994396,0.5736928777274598,0.47970155804257186,mlp
0.18000000000000002,0.4514587110598319,0.8077263344146269,0.5791922182279552,0.4818959842001317,mlp
0.19,0.46145957955904976,0.7962253022707166,0.5842891149101926,0.48321263989466756,mlp
0.2,0.47250798155374246,0.7856089649071071,0.590098571270351,0.4834320825104235,mlp
0.21000000000000002,0.4824269330373659,0.7690946623414922,0.5929294077526429,0.4910394265232975,mlp
0.22,0.4948016942626107,0.7578885284576821,0.5987186953989516,0.4922097871406627,mlp
0.23,0.5055621771950735,0.7505160719551754,0.6041543026706232,0.49147831175480944,mlp
0.24000000000000002,0.5170571311138512,0.7419640224122678,0.609422308344435,0.4919171969863214,mlp
0.25,0.526706231454006,0.7328221763491596,0.6128992477494142,0.49469680345256384,mlp
0.26,0.5361748633879782,0.7233854320259511,0.6158674366055736,0.4982810328432448,mlp
0.27,0.5428828019757521,0.7130639929224417,0.6164435946462715,0.5047911637773389,mlp
0.28,0.552042464804985,0.7053966381598349,0.619368203003625,0.5073513276278253,mlp
0.29000000000000004,0.561120341799193,0.6971394868770274,0.6217780115728564,0.510862409479921,mlp
0.3,0.5709001233045623,0.6826894721321144,0.6218103679828095,0.5208104747275254,mlp
0.31,0.578987534978377,0.6711884399882041,0.6216880633706637,0.5288567039719113,mlp
0.32,0.5847324239244491,0.6573282217634916,0.6189087880049979,0.5407797527613196,mlp
0.33,0.5905044510385756,0.645532291359481,0.6167934629473091,0.5506546704703387,mlp
0.34,0.5985503206021745,0.6331465644352698,0.6153625680710806,0.5603101455636018,mlp
0.35000000000000003,0.6051267281105991,0.6195812444706577,0.6122686871630483,0.5720868992758393,mlp
0.36000000000000004,0.6136228435455087,0.6083751105868476,0.6109877091662964,0.580718308828908,mlp
0.37,0.6194852941176471,0.5962842819227366,0.6076634109691961,0.5915441445395363,mlp
0.38,0.6258675078864353,0.5850781480389265,0.6047858558146624,0.60134591470997,mlp
0.39,0.6326199740596627,0.5753465054556178,0.6026254826254827,0.6095384390315266,mlp
0.4,0.6416861826697893,0.565614862872309,0.6012539184952979,0.6170726355058153,mlp
0.41000000000000003,0.6505524861878453,0.5555883220289001,0.5993319548274216,0.6251920122887865,mlp
0.42000000000000004,0.6555160142348755,0.5432025951046889,0.5940977261731979,0.6373345036939507,mlp
0.43,0.6644688644688644,0.5349454438218815,0.5927136088874367,0.6437714870894594,mlp
0.44,0.6735927465054778,0.5258035977587733,0.5905929115601193,0.6513056835637481,mlp
0.45,0.6810007818608288,0.5137127690946623,0.5856446461590183,0.6627898471216443,mlp
0.46,0.6879547291835085,0.5019168386906517,0.5803921568627451,0.6742008631409553,mlp
0.47000000000000003,0.6961233847436432,0.4924800943674432,0.5768566493955095,0.6827591251554386,mlp
0.48000000000000004,0.7006013745704467,0.48097906222353287,0.5703794369645043,0.6946821739448468,mlp
0.49,0.7064786249449097,0.47272191094072546,0.5664310954063604,0.7026552556506473,mlp
0.5,0.7160381644706951,0.46475965791801827,0.5636623748211731,0.7095311242776681,mlp
0.51,0.7245762711864406,0.45384842229430844,0.5581142339075249,0.7201375173725404,mlp
0.52,0.7292069632495164,0.44470657623120025,0.5524821395860048,0.7296466973886329,mlp
0.53,0.7330024813895781,0.435564730168092,0.5464298927118018,0.7393753200204813,mlp
