threshold,precision,recall,f1,cost_per_active_node,model
0.01,0.5392703520790186,0.9982306104393984,0.7002482416218453,0.21373710774632435,hybrid
0.02,0.5928395928395929,0.9961663226186965,0.7433160963802399,0.17445687952600394,hybrid
0.03,0.6279373368146214,0.9929224417575936,0.7693362275791157,0.15470704410796576,hybrid
0.04,0.6535463756819954,0.9890887643762902,0.7870468145019359,0.14358861824299612,hybrid
0.05,0.6751463759337775,0.9861397817752875,0.8015340364333653,0.13488406115134224,hybrid
0.060000000000000005,0.6914297572110396,0.9826010026540843,0.8116930572472595,0.130348913759052,hybrid
0.06999999999999999,0.7049215103945694,0.9799469183131819,0.8199876619370758,0.12661838929120034,hybrid
0.08,0.7165082108902333,0.9778826304924801,0.8270357899987529,0.12339989759344598,hybrid
0.09,0.7298787210584344,0.9761132409318785,0.8352258390108503,0.11923048789408236,hybrid
0.09999999999999999,0.7393545495293591,0.9728693600707756,0.8401884630077677,0.11871845512398507,hybrid
0.11,0.7488065469424869,0.9713948687702743,0.8456996148908857,0.1163045863506693,hybrid
0.12,0.7563895924476168,0.9687407844293718,0.8494957331264547,0.11615829127349865,hybrid
0.13,0.762956077155473,0.9681509879091713,0.853392253704185,0.1141101601931095,hybrid
0.14,0.7714016933207902,0.9672662931288706,0.8583017139866544,0.11169629141979373,hybrid
0.15000000000000002,0.778041825095057,0.9654969035682689,0.8616923279378865,0.1111111111111111,hybrid
0.16,0.7856627375511186,0.9631377174874668,0.8653948065712772,0.11089166849535513,hybrid
0.17,0.791352926888511,0.9607785314066647,0.8678742674480554,0.11147684880403774,hybrid
0.18000000000000002,0.7965187545967148,0.9581244470657623,0.8698795180722891,0.11264720942140297,hybrid
0.19,0.8025241276911655,0.9563550575051607,0.8727125941872982,0.11250091434423232,hybrid
0.2,0.8067729083665338,0.95547036272486,0.8748481166464156,0.11198888157413503,hybrid
0.21000000000000002,0.8112449799196787,0.9531111766440578,0.8764745762711864,0.11315924219150025,hybrid
0.22,0.8179051483641897,0.951046888823356,0.8794655031360785,0.11323238973008558,hybrid
0.23,0.8238156209987196,0.9486877027425539,0.8818530701754386,0.11396386511593885,hybrid
0.24000000000000002,0.8308728308728309,0.9460336184016515,0.8847214561500276,0.11469534050179211,hybrid
0.25,0.8349869451697128,0.9430846358006488,0.8857498961362692,0.11681661912076659,hybrid
0.26,0.8376180482686254,0.9416101445001475,0.8865750381785367,0.1176943895837905,hybrid
0.27,0.8423554264589385,0.9407254497198466,0.8888269713011981,0.11718235681369323,hybrid
0.28,0.8459286854709952,0.9374815688587438,0.8893551545670724,0.11988881574135031,hybrid
0.29000000000000004,0.847860962566845,0.9351223827779416,0.8893563315103071,0.12208324189891011,hybrid
0.3,0.8526089295320065,0.9348274845178414,0.8918272612181741,0.12091288128154487,hybrid
0.31,0.8564088696592753,0.9339427897375405,0.8934969671321766,0.12076658620437422,hybrid
0.32,0.8598258029395754,0.9315836036567384,0.8942675159235669,0.12252212713042206,hybrid
0.33,0.86479802143446,0.9280448245355353,0.8953058321479375,0.12522858605807916,hybrid
0.34,0.8670536207849641,0.9250958419345325,0.8951348266514482,0.1280813400629069,hybrid
0.35000000000000003,0.8715877437325905,0.9227366558537304,0.8964331757627847,0.1295442908346134,hybrid
0.36000000000000004,0.8752802690582959,0.9209672662931289,0.8975427503951717,0.130568356374808,hybrid
0.37,0.8779250070482097,0.9183131819522264,0.897665033150764,0.13298222514812377,hybrid
0.38,0.8805209513023783,0.9171335889118254,0.8984544272714141,0.1336405529953917,hybrid
0.39,0.8843304843304843,0.9153641993512238,0.8995797710476743,0.13466461853558628,hybrid
0.4,0.8873925501432665,0.9132999115305219,0.9001598604853945,0.13627386438446346,hybrid
0.41000000000000003,0.8901067205076435,0.9100560306694191,0.8999708369787109,0.13941920854363252,hybrid
0.42000000000000004,0.8917899622860458,0.9065172515482158,0.8990933021351273,0.1432228805500695,hybrid
0.43,0.8937846512985118,0.903273370687113,0.8985039601056029,0.1465876673249945,hybrid
0.44,0.8965922444183314,0.90002948982601,0.8983075791022811,0.14973301148416357,hybrid
0.45,0.8990554899645808,0.8982601002654085,0.898657619117864,0.1511959622558701,hybrid
0.46,0.9013625592417062,0.8973754054851076,0.8993645633220039,0.15163484748738204,hybrid
0.47000000000000003,0.9045346062052506,0.8941315246240047,0.8993029808690494,0.15470704410796576,hybrid
0.48000000000000004,0.9072629051620649,0.8914774402831024,0.8993009073330358,0.15719406041986686,hybrid
0.49,0.9108491991538229,0.8888233559422,0.8997014925373135,0.159461634116012,hybrid
0.5,0.9141291108404385,0.8852845768209967,0.8994756554307116,0.16289956842952236,hybrid
0.51,0.9172540606803555,0.8826304924800944,0.8996092575894199,0.16531343720283811,hybrid
0.52,0.9208899876390606,0.8787968150987909,0.8993511392787084,0.16904396167068977,hybrid
0.53,0.9233870967741935,0.8779121203184901,0.9000755857898715,0.16948284690220175,hybrid
0.54,0.9264109759900219,0.8761427307578885,0.9005759321006366,0.17087265013532293,hybrid
0.55,0.9282356628016296,0.8734886464169861,0.900030385900942,0.17365225660156536,hybrid
0.56,0.9312519709870704,0.8708345620760838,0.9000304785126486,0.17613927291346645,hybrid
0.5700000000000001,0.9332700822264389,0.8702447655558833,0.9006561880054936,0.17635871552922244,hybrid
0.5800000000000001,0.9351351351351351,0.8672957829548805,0.8999388004895961,0.17950405968839148,hybrid
0.59,0.9381013470173188,0.8625774107932763,0.8987555692118605,0.184551239850779,hybrid
0.6,0.9400193485972267,0.8596284281922737,0.8980283425754775,0.18769658400994807,hybrid
0.61,0.9413099870298314,0.8560896490710704,0.8966795366795367,0.19171969863214103,hybrid
0.62,0.9426710097719869,0.8534355647301681,0.8958365578083888,0.1946456001755541,hybrid
0.63,0.9444444444444444,0.8522559716897671,0.8959851185862657,0.19566966571574868,hybrid
0.64,0.9470742932281394,0.8496018873488647,0.8956940774133375,0.19830297710482042,hybrid
0.65,0.9490572279192855,0.8460631082276615,0.8946055503585906,0.20217979664984273,hybrid
0.66,0.9510652463382158,0.8425243291064582,0.8935105551211884,0.20605661619486504,hybrid
0.67,0.9521098459477562,0.8383957534650546,0.8916418378547907,0.2108843537414966,hybrid
0.68,0.9535040431266847,0.8345620760837511,0.8900770561409027,0.2152732060566162,hybrid
0.6900000000000001,0.955193482688391,0.8298437039221469,0.8881174057124822,0.22068612391193038,hybrid
0.7000000000000001,0.9555555555555556,0.8242406369802419,0.8850538315389487,0.22748884500036573,hybrid
0.7100000000000001,0.9573736679271228,0.8212916543792391,0.8841269841269841,0.2307073366981201,hybrid
0.72,0.9590419993057966,0.8148038926570333,0.8810586734693877,0.23831468071099407,hybrid
0.73,0.9608665269042628,0.8109702152757299,0.8795778026547257,0.24263038548752835,hybrid
0.74,0.9629760225669958,0.8053671483338248,0.877147904287779,0.2490673688830371,hybrid
0.75,0.9657631954350927,0.7985844883515187,0.8742534301856336,0.2568210079730817,hybrid
0.76,0.967301473230327,0.7938661161899144,0.8720440557175251,0.2623070733669812,hybrid
0.77,0.9695431472081218,0.7885579475081097,0.8697349162465442,0.26837831906956333,hybrid
0.78,0.9714285714285714,0.7820701857859038,0.8665250776016991,0.27598566308243727,hybrid
0.79,0.972663465090506,0.7764671188439988,0.8635618235487045,0.282642089093702,hybrid
0.8,0.9746268656716418,0.7702742553818932,0.8604842694778455,0.28988369541364933,hybrid
0.81,0.975867269984917,0.7631966971394869,0.8565282144630151,0.2983688098895472,hybrid
0.8200000000000001,0.9775066717499047,0.7561191388970805,0.8526770867974726,0.3067807768268598,hybrid
0.8300000000000001,0.9784366576819407,0.7493364789147744,0.8486973947895792,0.3149733011484164,hybrid
0.8400000000000001,0.9801864801864801,0.7440283102329697,0.8459346186085499,0.3211908419281691,hybrid
0.85,0.9807238394964595,0.7351813624299617,0.8403842912523175,0.33201667763879744,hybrid
0.86,0.982135768161969,0.7295782954880566,0.8372250423011844,0.3386731036500622,hybrid
0.87,0.9842995169082126,0.721026245945149,0.8323404255319149,0.34884061151342255,hybrid
0.88,0.9873675631621842,0.7145384842229431,0.8290846877673225,0.35630166044912587,hybrid
0.89,0.9896864686468647,0.7074609259805367,0.8251074806534824,0.36464047984785314,hybrid
0.9,0.9916247906197655,0.6983190799174285,0.8195189479148641,0.3756126106356521,hybrid
0.91,0.991518235793045,0.6894721321144205,0.8133588450165247,0.3865847414234511,hybrid
0.92,0.9921875,0.6741374225892067,0.802809482001756,0.4054568063784654,hybrid
0.93,0.9938107869142352,0.6629312887053966,0.7953299133203608,0.41906224855533614,hybrid
0.9400000000000001,0.9954627949183303,0.6470067826599823,0.7842716711349419,0.438519493819033,hybrid
0.9500000000000001,0.9953007518796992,0.6245945148923622,0.7675303497010328,0.4663155584814571,hybrid
0.9600000000000001,0.9966035904900534,0.6057210262459451,0.7534849596478357,0.48950332821300563,hybrid
0.97,0.9969681657402729,0.5818342671778236,0.7348230912476722,0.5190549338014776,hybrid
0.98,0.9983991462113126,0.5517546446475966,0.7107312440645774,0.5561407358642382,hybrid
0.99,0.9988304093567252,0.5036862282512533,0.6696726132130955,0.615682832272694,hybrid
