pr_auc,recall,cost_per_active_node,recall_at_10_percent,graph_mae
0.9671790795223543,0.9529015979814971,0.12848951259996982,0.33052985702270815,0.10195243518205906
0.9707738583068991,0.9563900666262871,0.11542652552926526,0.3349485160508783,0.10745174867192145
0.9654417311759039,0.9558152793614595,0.1232273473652784,0.32639680729760545,0.1121574836344212
0.9626326850478858,0.9573516254100806,0.12755367357551445,0.33611691022964507,0.11887737590091667
0.9678776931418412,0.9588302101078933,0.12181451311561169,0.336740488358887,0.09895858274977826
0.9700862109992819,0.9687331536388141,0.11267809358501482,0.33504043126684635,0.10172158843113316
0.9676307383083281,0.9583697234352256,0.1162275846800974,0.34119359534206695,0.10682439622858174
0.969902226250987,0.9609327680193822,0.116642189070109,0.34282253179890976,0.11299814026416191
0.9650743656813763,0.9513742071881607,0.12734976887519261,0.3388704318936877,0.10834072659424734
0.9700458261162959,0.9620542082738944,0.11306772323721476,0.3437945791726106,0.09969033175716978
0.9665985953293337,0.9460473167916907,0.12967263465428122,0.3323716099249856,0.1089584985207723
0.9656846415245346,0.9499424626006905,0.1272579212318626,0.33601841196777904,0.10772051121867884
0.9693735923423198,0.9631147540983607,0.10975791990436341,0.343384074941452,0.10903200442934859
0.966939555908626,0.9562967222541691,0.12093092868367881,0.33064979873490513,0.1031067547142163
0.9689590591039652,0.9534501642935378,0.11874728142670726,0.3354326396495071,0.10253301377511687
0.9701768783674132,0.9565217391304348,0.11812910707383069,0.3225806451612903,0.09169166588357516
0.9727124355067869,0.9657223796033995,0.10734753857457752,0.3379603399433428,0.10492079110467138
0.9650462557208465,0.958732926474862,0.1254222352768395,0.34292356873002033,0.1076339512567286
0.9620865374321923,0.9518405756988652,0.13323507737656595,0.3304732908939939,0.10599965483321054
0.9694860182081309,0.9602209944751381,0.1218024110555719,0.3370165745856354,0.09862621582812217
0.9698177814895763,0.9561301568855317,0.11456150853038012,0.3332364904125508,0.10490084552987554
0.9704118004905601,0.9575053500458576,0.11433500627352572,0.3335371446040966,0.10657929309001825
0.9688931012484252,0.9590112640801002,0.11393901189819557,0.34136420525657074,0.10441002784887465
0.9690536374914132,0.9584681769147788,0.1250367107195301,0.33279395900755127,0.09291351436740822
0.9674488236920358,0.9536713286713286,0.12415018541409147,0.3275058275058275,0.10019074412466923
0.9711606802214007,0.9643268124280783,0.11297767688233068,0.34062140391254314,0.10168244349228782
0.9665461864927096,0.9539198084979055,0.11782369342961321,0.3500897666068223,0.11978754900581291
0.9670726795495663,0.9535022354694486,0.12194742572717375,0.3302533532041729,0.1091392615723929
