budget_fraction,selected_nodes,captured_failures,precision_at_budget,recall_at_budget,lift_at_budget,model
0.01,433,211,0.48729792147806006,0.06098265895953757,1.8745477846453698,mlp
0.05,804,341,0.42412935323383083,0.0985549132947977,1.6315496218330314,mlp
0.1,1501,574,0.38241172551632246,0.16589595375722543,1.4710693834168358,mlp
0.2,2843,1011,0.35561027084066127,0.2921965317919075,1.3679689898523704,mlp
