model,type,pr_auc,precision,recall,f1,alert_rate,cost_per_active_node,false_positive,false_negative,brier_calibrated,ece_calibrated,graph_mae,recall_at_10_percent,lift_at_10_percent,pr_auc_ci_lower,pr_auc_ci_upper,cost_per_active_node_ci_lower,cost_per_active_node_ci_upper,recall_at_10_percent_ci_lower,recall_at_10_percent_ci_upper
hybrid,neural,0.9714247726206625,0.8017200191113235,0.9699421965317919,0.8778446246403349,0.31450037565740047,0.10142749812171299,830,104,0.036054178149906004,0.005658644187808829,0.07207571218267737,0.33670520231213874,2.9857070238338217,0.9660992037633189,0.9758932990469614,0.08917748829723306,0.11470886970092833,0.3221823908168759,0.3543752714452999
gnn,neural,0.9681107143617363,0.7965857177206059,0.957514450867052,0.8696679354245964,0.3124718256949662,0.11878287002253944,846,147,0.038131017732824096,0.0035136012846064607,0.10446203150302516,0.33670520231213874,2.9857070238338217,0.9626112531833374,0.9727926694310425,0.10601529185805068,0.13347196511806012,0.3210761190276825,0.35498660034840007
failed_neighbor,heuristic,0.722546440195628,0.5727462582666203,0.9511560693641619,0.7149684988051271,0.4317054845980466,0.24793388429752067,2455,169,,,,0.2702312138728324,2.3962541350082605,,,,,,
mlp,neural,0.6883806510477547,0.4476073242037236,0.8407514450867052,0.5841952003213174,0.4882794891059354,0.4767092411720511,3590,551,0.13024408336962048,0.011363330774356039,0.11296461691636825,0.16589595375722543,1.4710693834168358,0.6566473615850081,0.7165365663695187,0.45502510307320737,0.5009800371265968,0.15384237072845885,0.17827273682228809
load_ratio,heuristic,0.47866246890104647,0.3203782724022604,0.8028901734104046,0.45800016486687,0.6514650638617581,0.6989481592787378,5893,682,,,,0.17630057803468208,1.5633315747112715,,,,,,
empirical_rate,heuristic,0.2599549211119459,0.2599549211119459,1.0,0.41264162194394755,1.0,0.740045078888054,9850,0,,,,0.11040462427745665,0.9790043631798454,,,,,,
degree,heuristic,0.2892621985694316,0.2608427702026038,0.9786127167630058,0.4118970865519129,0.9752817430503381,0.7486851990984222,9595,74,,,,0.17861271676300577,1.5838342838878128,,,,,,
