budget_fraction,selected_nodes,captured_failures,precision_at_budget,recall_at_budget,lift_at_budget,model
0.01,433,390,0.9006928406466512,0.11271676300578035,3.4648039621407305,hybrid
0.05,804,691,0.8594527363184079,0.19971098265895953,3.3061606706352626,hybrid
0.1,1501,1165,0.776149233844104,0.33670520231213874,2.9857070238338217,hybrid
0.2,2843,1830,0.6436862469222652,0.5289017341040463,2.4761456492876732,hybrid
