pr_auc,recall,cost_per_active_node,recall_at_10_percent,graph_mae
0.7094694060049607,0.8340342024109896,0.47691263014938884,0.1712924025791982,0.12082593443676588
0.6888630378492656,0.837068443367656,0.4679327521793275,0.17262265293761356,0.12788807316227574
0.7093135731967589,0.8489167616875712,0.4555903866248694,0.16875712656784492,0.10403419881630903
0.6783903865871449,0.8311959439308082,0.4698016492088255,0.16104980614375186,0.11912739342399713
0.6891713327054484,0.8350369108461102,0.4772438532247216,0.16524701873935263,0.118301434515027
0.6773544008863055,0.8207547169811321,0.504664786287698,0.1582210242587601,0.11768863094349702
0.6904989319353676,0.8436681222707424,0.4689690797727105,0.17612809315866085,0.10890507079559981
0.6778605681712276,0.8322228952150212,0.4845018164953235,0.15808600847970927,0.12017406078652954
0.7002449181144667,0.8381153729990939,0.46964560862865945,0.16641498036846875,0.11252960553041326
0.6705230857539053,0.8379457917261056,0.49277276395920466,0.16005706134094153,0.10873333859885305
0.6983603784299056,0.8378534333525678,0.46130796314330663,0.1621465666474322,0.11775350194260167
0.703714258461054,0.8394706559263522,0.4591353272135031,0.16513233601841196,0.11600708972216339
0.6696481562413433,0.8404566744730679,0.4825911536162582,0.16276346604215455,0.10276768778761228
0.6918891778506184,0.8614146060954572,0.4689066826311457,0.16589994249568718,0.10728687583629427
0.6889861639000963,0.8420043811610076,0.48579092358996667,0.16292442497261775,0.10505266632884741
0.7015615076081131,0.8496493688639551,0.4802473908001546,0.16269284712482468,0.10122590044413014
0.68835741669154,0.8427762039660056,0.4745775165319618,0.16402266288951842,0.11866152994586975
0.6795208171544194,0.8328974135425748,0.48670876780731387,0.1737866899157222,0.11742537411068552
0.6904392293273637,0.8342097979518406,0.4831982313927782,0.16440631054525326,0.11269675711869384
0.6831460173068792,0.8419889502762431,0.47669802999117905,0.16408839779005524,0.10729881403822543
0.6944025133087659,0.8442765833817548,0.45405567195450464,0.16560139453805928,0.10809454245214489
0.6824651593679949,0.8358300214001835,0.4687107904642409,0.1623356771629471,0.14773716518962846
0.6821802325152033,0.8423028785982478,0.4564652115672524,0.1739674593241552,0.13620007686862132
0.6946338412683603,0.8422330097087378,0.4922173274596182,0.16316073354908306,0.10074569418198533
0.7068069773120012,0.8385780885780886,0.45511433868974044,0.168997668997669,0.12121545946453961
0.6804901913688035,0.8417721518987342,0.49527052591751797,0.15678941311852704,0.11237029745135196
0.6732855377004946,0.8273488928785159,0.46907842997068705,0.1696588868940754,0.12710468333248234
0.6985843258029455,0.8360655737704918,0.4779125836055374,0.1690014903129657,0.12246709270742688
0.6964564725782166,0.8406132484813422,0.47224523612261804,0.1721145501880243,0.11566449892793403
0.6852560907954639,0.8409156766154737,0.4750223015165031,0.16372066067806432,0.1088462678472633
0.6963354609938008,0.84199066874028,0.46309043436980774,0.15956454121306377,0.12434950237296759
0.684852034346943,0.8517415897588568,0.46326026551404753,0.1771360523965466,0.1078195550911863
0.6806547740450307,0.842587292501431,0.4828961950498707,0.16971951917572983,0.12522312521866621
0.7041897694316481,0.8424558355053576,0.4705020436492635,0.16420503909643788,0.11478902038071756
0.6711123352513619,0.828428303068253,0.4678316746336494,0.1643706950532248,0.13479105936088226
0.6816827375993606,0.8496503496503497,0.4658631586683325,0.175990675990676,0.1141580183422214
0.676655383530164,0.8509712960278342,0.4861373422981038,0.17309365033342997,0.11166914401725792
0.7022982520253875,0.8395385422128998,0.49487086213168424,0.16544310435238593,0.10058563716382116
0.6799832209362392,0.8426800472255017,0.4724641960726414,0.17886658795749705,0.09986538796321205
0.6961616684404118,0.8418859077884866,0.4817987152034261,0.16384475123730138,0.10981111733404839
0.6569189468116682,0.8350713501646543,0.4962091688514136,0.16218441273326015,0.10022730735086259
0.6910271308540211,0.8369655172413794,0.5011588785046729,0.1663448275862069,0.09894723767099996
0.6795270534623316,0.8399767238871109,0.48844982544752286,0.16351469304626126,0.11912060895555353
0.7032230949823921,0.8407585791691752,0.46755858015621377,0.1715833835039133,0.10627099379206921
0.6887682805336801,0.8386032444322243,0.4875286803345422,0.14957382458069837,0.10479145673721024
0.6664300721182639,0.8255608028335301,0.48815935079306527,0.16381345926800472,0.11521756052455868
0.699817308043803,0.8455669560641936,0.49183222958057393,0.1628518810839253,0.1018088444038595
0.6924915409254946,0.856080880166518,0.4611609539145771,0.1656259292298543,0.11139157798307003
