f1,pr_auc
0.8755938764736935,0.9565546938819367
0.8797886393659181,0.9632682486445674
0.8662020905923344,0.9568399327442756
0.8647092688543466,0.9532937168839415
0.87021237974224,0.9579649787234238
0.8799027059896625,0.9611181179861941
0.885806916426513,0.9630919094155208
0.8827755388119852,0.9610963587846162
0.8582818417380905,0.9464657151209678
0.8832951945080092,0.9630158497615494
0.8756943114345911,0.9579630934167124
0.85480805777271,0.9477324037841371
0.886896046852123,0.9649849073019674
0.8677388836329234,0.9562116035122575
0.8701117318435754,0.9592299665787649
0.8783807988536629,0.9575776901469643
0.8835820895522388,0.9634054500540619
0.8818535550053059,0.9620106436224998
0.8616223585548739,0.9504021356443447
0.8854677719506006,0.9661742244229374
0.872848200312989,0.9582314372736283
0.8768283294842186,0.9551568350379244
0.8903276437119875,0.964688700219012
0.8779570734764217,0.9613952019555874
0.8861607142857143,0.9648475146408299
0.8777832756061356,0.9613892192814882
0.8792506617796783,0.9620376412427577
0.8705838601710673,0.9566316046159237
0.8689579121485022,0.9563123591829484
0.8691865528653545,0.9593994035112743
0.8681408681408681,0.9561123070311285
0.8859946476360393,0.9653485559674231
0.8791451731761238,0.9617728564449033
0.8606083943011167,0.9523827958965213
0.8913043478260869,0.9667354442968595
0.8886817079992542,0.9662254023953096
0.8791405550581916,0.9601886872684556
0.8719863120236429,0.95596637790832
0.8790114348948728,0.9594647084208809
0.8916201117318435,0.9681516020398904
0.8841245533435427,0.9642714734640665
0.8789851443832415,0.9598468882448818
0.876298050646748,0.9599990136021174
0.8700779912497623,0.9536825262036488
0.8841288581548322,0.9638658096076028
0.87515946783306,0.9598085671095327
0.8824569866538029,0.9615492881017909
0.8711586180568811,0.9529612927938961
0.8823013506402385,0.9630449531217105
0.8727647867950481,0.9571936309309648
0.8752537080405933,0.9619193563667401
0.8868378812199037,0.96505954094208
0.8580657419722592,0.9496805536367022
0.8865315400644062,0.9618789787417386
0.8771485435136602,0.9605028551464013
0.8790927382476679,0.9600447863538993
0.8653275109170305,0.9546123148019884
0.8747052350259393,0.9568573722157802
0.8727199839647224,0.9586452631178057
0.877879785206998,0.9559499244603996
0.8883802816901408,0.9657722643110144
0.8699029126213592,0.9576875774684301
0.8719108945353289,0.958247554193406
0.8833502882332994,0.9642889696426956
0.8749572941578408,0.9579262924056575
0.8903771589707438,0.9684703702918266
0.8773016692479779,0.9604152432434041
0.8811488940244305,0.9604448519151436
0.8796296296296297,0.9629241599882069
0.8594334580438269,0.950978076428338
0.8637835778243474,0.9524170241438811
0.8754877616175949,0.9571344821869173
0.8795580110497238,0.9655205241035528
0.8739735808639771,0.9586316915266108
0.8802323594737741,0.9614460274614
0.8789808917197452,0.9606927889823988
0.865366407877296,0.954161334158091
0.8735895964811627,0.9585593093826063
0.8755397033977849,0.9597360154746499
0.8716586418728208,0.9547931584838454
0.867182846932698,0.9552481962638232
0.8705743509047994,0.9584889468493804
0.8701829160007104,0.9567257799566495
