model,type,precision,recall,f1,pr_auc,roc_auc,graph_mae,load_mae,pr_auc_ci_lower,pr_auc_ci_upper
hybrid,neural,0.8726296958855099,0.8805054151624548,0.8765498652291105,0.9594686351018122,0.9863923535390855,0.09210976016128179,0.13478899284403492,0.9501465934942425,0.9667115525269628
gnn,neural,0.8970698722764838,0.8620938628158845,0.8792341678939617,0.9550044237649419,0.9845771812510933,0.10274166564206812,0.14842106017845594,0.9451252295063237,0.9626191862074932
failed_neighbor,heuristic,0.5754132231404959,0.8043321299638989,0.6708822643781993,0.6651343649910683,0.8988289325971794,0.19807441611835166,0.2787086071099265,,
mlp,neural,0.5711354309165527,0.6028880866425993,0.5865823674042853,0.6367664448782254,0.8371111153072083,0.17322803983018342,0.3946471135071129,0.6014828838547919,0.6661489757987566
load_ratio,heuristic,0.4066780821917808,0.5144404332129964,0.45425565827223463,0.4379920557587904,0.7080653660111135,0.19807441611835166,0.2787086071099265,,
degree,heuristic,0.22415870955780107,0.8729241877256317,0.3567160876300066,0.23456113946565924,0.5367833803197261,0.19807441611835166,0.2787086071099265,,
persistence,heuristic,0.0,0.0,0.0,0.21467875687824536,0.5,0.19807441611835166,0.2787086071099265,,
empirical_rate,heuristic,0.21467875687824536,1.0,0.35347412748038026,0.21467875687824536,0.5,0.19807441611835166,0.2787086071099265,,
