threshold,precision,recall,f1,model
0.01,0.38885542168674697,0.9992260061919505,0.5598438855160451,hybrid
0.02,0.42995169082125606,0.9988390092879257,0.601141260044253,hybrid
0.03,0.46290641278965333,0.9972910216718266,0.6323150533676849,hybrid
0.04,0.4872865275142315,0.9938080495356038,0.6539343009931246,hybrid
0.05,0.5082292286337498,0.9918730650154799,0.6720860102268258,hybrid
0.060000000000000005,0.5278465346534653,0.9903250773993808,0.6886437029063509,hybrid
0.06999999999999999,0.5450863355361331,0.9895510835913313,0.7029553264604811,hybrid
0.08,0.561469100505828,0.9880030959752322,0.7160286074884308,hybrid
0.09,0.5749380211854856,0.9872291021671826,0.7266771115225751,hybrid
0.09999999999999999,0.5872320811246831,0.9860681114551083,0.7360970677451971,hybrid
0.11,0.5985882352941176,0.9845201238390093,0.7445127304653204,hybrid
0.12,0.6066825775656325,0.9837461300309598,0.7505166814289932,hybrid
0.13,0.6174610894941635,0.9825851393188855,0.758363201911589,hybrid
0.14,0.6280623608017817,0.9821981424148607,0.766188679245283,hybrid
0.15000000000000002,0.6367521367521367,0.9802631578947368,0.772020725388601,hybrid
0.16,0.6448240693523712,0.9787151702786377,0.7774362127267138,hybrid
0.17,0.6544936544936545,0.9779411764705882,0.7841737781225756,hybrid
0.18000000000000002,0.6620309630018368,0.9763931888544891,0.7890539483971853,hybrid
0.19,0.6676377118644068,0.9756191950464397,0.7927672955974843,hybrid
0.2,0.6732726298875201,0.9729102167182663,0.7958214624881291,hybrid
0.21000000000000002,0.6793934470620092,0.9709752321981424,0.7994264776166958,hybrid
0.22,0.6850738108255877,0.9698142414860681,0.8029477731496315,hybrid
0.23,0.6923076923076923,0.968266253869969,0.8073572120038722,hybrid
0.24000000000000002,0.698488241881299,0.9655572755417957,0.8105912930474334,hybrid
0.25,0.7027636773829667,0.9643962848297214,0.8130505709624796,hybrid
0.26,0.7082740972419675,0.9640092879256966,0.8165874446811998,hybrid
0.27,0.7143267298306057,0.9628482972136223,0.8201747156749629,hybrid
0.28,0.719491035280509,0.9628482972136223,0.8235683548493876,hybrid
0.29000000000000004,0.7256792287467134,0.9613003095975232,0.8270351256866989,hybrid
0.3,0.7327815548329885,0.9593653250773994,0.8309033014915368,hybrid
0.31,0.7378467044437816,0.9574303405572755,0.833417550951659,hybrid
0.32,0.7421100090171325,0.9554953560371517,0.8353916427000507,hybrid
0.33,0.7468929978781449,0.9535603715170279,0.837667856535781,hybrid
0.34,0.7509157509157509,0.9520123839009288,0.8395904436860068,hybrid
0.35000000000000003,0.7555418719211823,0.9496904024767802,0.8415637860082305,hybrid
0.36000000000000004,0.7593798449612403,0.9477554179566563,0.8431743845756584,hybrid
0.37,0.7650187734668336,0.9462074303405573,0.8460207612456747,hybrid
0.38,0.7680931403398363,0.9446594427244582,0.8472752516487331,hybrid
0.39,0.7721799746514575,0.9431114551083591,0.8491289198606272,hybrid
0.4,0.7758290816326531,0.94156346749226,0.8506993006993007,hybrid
0.41000000000000003,0.7790585975024016,0.94156346749226,0.8526371123182057,hybrid
0.42000000000000004,0.7858990944372575,0.9404024767801857,0.8562367864693446,hybrid
0.43,0.7886866059817945,0.9388544891640866,0.8572438162544169,hybrid
