threshold,precision,recall,f1,model
0.01,0.254405784003615,0.9961663226186965,0.40530325754394386,mlp
0.02,0.2657957244655582,0.989973459156591,0.41907496410960615,mlp
0.03,0.2773193298324581,0.981126511353583,0.43241486872887963,mlp
0.04,0.2888245105785269,0.9702152757298732,0.44513597618725476,mlp
0.05,0.29861302470836776,0.9587142435859628,0.4553859083905309,mlp
0.060000000000000005,0.3093338460059598,0.9489826010026541,0.4665796723212991,mlp
0.06999999999999999,0.31911484930409534,0.9398407549395459,0.47645387950366275,mlp
0.08,0.328705636743215,0.9286346210557358,0.48554467658623085,mlp
0.09,0.3377850162866449,0.9174284871719257,0.49377033568764384,mlp
0.09999999999999999,0.346509009009009,0.9074019463285167,0.5015076195909054,mlp
0.11,0.3545127192472993,0.90002948982601,0.5086666666666667,mlp
0.12,0.36244907740234844,0.8920672368033029,0.5154639175257731,mlp
0.13,0.3690359075258239,0.8849896785608965,0.5208713008765079,mlp
0.14,0.3761352169525732,0.8793866116189915,0.5269016697588126,mlp
0.15000000000000002,0.3835083625048619,0.872309053376585,0.5327809798270894,mlp
0.16,0.3909103025456484,0.8649365968740784,0.5384615384615384,mlp
0.17,0.39797592997811815,0.8581539368917723,0.5437727739886014,mlp
0.18000000000000002,0.4043088975937325,0.8522559716897671,0.548439130847329,mlp
0.19,0.41088260497000856,0.8484222943084636,0.5536418743384971,mlp
0.2,0.41861484511981295,0.8448835151872603,0.5598436736687836,mlp
0.21000000000000002,0.4255573844081999,0.8386906517251548,0.5646217986896962,mlp
0.22,0.4321877876649279,0.8307283987024476,0.5685740236148955,mlp
0.23,0.43792995622263914,0.8260100265408434,0.5723919485031164,mlp
0.24000000000000002,0.4424087940098773,0.818932468298437,0.5744724865535789,mlp
0.25,0.4482084690553746,0.8115600117959304,0.5774839995803168,mlp
0.26,0.4539113104135526,0.8059569448540254,0.5807479813004675,mlp
0.27,0.458628841607565,0.8009436744323208,0.5832706968753355,mlp
0.28,0.4632719766041631,0.7941610144500147,0.585180356366797,mlp
0.29000000000000004,0.46874452810365963,0.7894426422884105,0.5882223687101736,mlp
0.3,0.4739750445632799,0.7841344736066057,0.5908232418620153,mlp
0.31,0.478252957233849,0.7749926275434975,0.5914922349763673,mlp
0.32,0.4829186780542146,0.7670303745207904,0.5926854278227185,mlp
0.33,0.4888595166163142,0.7634915953995871,0.5960630827673535,mlp
0.34,0.49508196721311476,0.7570038336773813,0.5986473880597015,mlp
0.35000000000000003,0.5007827788649707,0.7546446475965792,0.6020468180214092,mlp
0.36000000000000004,0.5059665871121718,0.7502211736950752,0.6043473096567288,mlp
0.37,0.5108958837772397,0.746682394573872,0.6066850365400743,mlp
0.38,0.5170571311138512,0.7419640224122678,0.609422308344435,mlp
0.39,0.522257053291536,0.7369507519905633,0.6113013698630136,mlp
0.4,0.526706231454006,0.7328221763491596,0.6128992477494142,mlp
0.41000000000000003,0.5320292347377472,0.7298731937481568,0.6154419992540097,mlp
0.42000000000000004,0.5362762237762237,0.7236803302860513,0.6160411698255304,mlp
0.43,0.5391592920353983,0.7186670598643468,0.6161041587662748,mlp
0.44,0.5430047159218504,0.7130639929224417,0.6165221825599184,mlp
0.45,0.5478201323898654,0.707755824240637,0.6176016469377251,mlp
0.46,0.5523215523215523,0.7051017398997346,0.6194300518134715,mlp
