f1,pr_auc
0.5988065988065988,0.6462969661839295
0.5998523440383905,0.6481103161696775
0.6054016134689583,0.6650999703011174
0.5823987835012355,0.627808112147624
0.5774673114812825,0.6223162846934005
0.5893734186634916,0.6447960581117071
0.5996026729275781,0.6568042575718984
0.5883376849434291,0.6441316041490264
0.5599091425326519,0.5885929896306739
0.5859280922071219,0.6365224095416174
0.5759241706161138,0.6275472074307291
0.575373557783242,0.6146886427423619
0.5811293781272338,0.6149479174824115
0.5901939260885474,0.6372799608719955
0.5735345735345735,0.6204639739580303
0.6055237102657635,0.6663219283097768
0.5854065787276674,0.6383807415764777
0.5808124459809854,0.6395244803156535
0.5715748165842006,0.6255017472067662
0.5985592665356909,0.64078071627533
0.5810055865921788,0.6275222548961437
0.5833487170020306,0.6245733506343205
0.5990939977349944,0.6371026336036308
0.588719512195122,0.6485049224426495
0.6078321154206483,0.6625409299046143
0.5926285160038798,0.6418243065418062
0.5566455087516831,0.609831548203671
0.5941208690889173,0.6489072263147767
0.5910174152153987,0.6573440026020404
0.5834785639595678,0.6413167357626448
0.5844387250049495,0.628057944202695
0.5976331360946746,0.6512395038117773
0.5814199929353585,0.6351679887830285
0.583947119924457,0.6287349976193648
0.5926200630446875,0.639854848328619
0.5935033951183704,0.6351036549162838
0.582396679923915,0.6331331419736227
0.5925701288855193,0.6474509727976507
0.580952380952381,0.6421247354538714
0.5948669500866005,0.6412489885289419
0.5844495262985953,0.6207805064549263
0.5852955309947141,0.6261314819830686
0.5672483694694165,0.615233760608528
0.5857911333704322,0.6460491411604695
0.5902578796561605,0.6426171979654393
0.5799029300737012,0.6314494020769541
0.5962654950572729,0.644467105204825
0.5829090909090909,0.6150952591674874
0.5673044645854314,0.6160172917665829
0.5993265993265994,0.6488515317589464
0.6023472031702485,0.6611275822962103
0.5727878211227403,0.6040751266718682
0.5758502789274789,0.605800011038773
0.5682876839947829,0.611203256296278
0.5646770523367758,0.6139350428024333
0.5896209054103791,0.6440541286402023
0.5815358067299397,0.6423577319678125
0.5979922779922779,0.6640920472422656
0.5742574257425742,0.6199113263211795
0.5845901639344262,0.6303755715738185
0.5844421699078812,0.6350927504649311
0.5871121718377088,0.6444739864085717
0.5684283009123774,0.6127315272935837
0.5943856110270633,0.6440270501722076
0.5932998324958124,0.6431471629617674
0.571189559979923,0.6227026757509497
0.5709603408718453,0.6133442530275532
0.5767607919506653,0.631321180109835
0.6008109104312569,0.6579911394948871
0.5792311706383719,0.6248158527829172
0.5483811962685202,0.5694987225490362
0.584153103201574,0.6399319164291482
0.5989736070381232,0.6464741231627847
0.5927105449398443,0.6498319471784154
0.5973895582329317,0.652439687860327
0.5890823844608172,0.6420921724135196
0.5692924872355944,0.6088716503634778
0.5955372210763172,0.6533233277625373
0.565452847805789,0.6191447511717828
0.6094349058176363,0.6623607086839021
0.5770381451009723,0.6194456123097406
0.5613251442397171,0.6014031007689388
0.5991486342674708,0.6645490141862306
0.5866384628944121,0.6341463675668135
0.5997225112729795,0.6623847172625521
0.5743944636678201,0.6237489782674829
0.5898617511520737,0.63821536323792
0.5938783128032848,0.644307693957341
0.5987696514012304,0.6513519502863293
0.5893602225312935,0.6424632548394354
0.5758969641214351,0.6262074179543504
0.5691168875882252,0.6096880186646119
0.5811870100783875,0.6320296822081628
0.6086175942549371,0.6668441819834282
0.5879785090664875,0.6308590861611496
0.5975894245723172,0.6447120283564015
0.5734467811847809,0.6204866632586574
0.5876447876447877,0.639380014817749
0.574390049433902,0.6162161136446558
0.5796008172245796,0.6271901889285976
0.5870121561100448,0.6365313923436923
0.5773342836778332,0.6231377118916159
0.5871225900327391,0.6444948873101095
0.6044751563014149,0.6663517096075379
0.5851732184527015,0.6398573339887883
0.5826086956521739,0.6324774742038909
0.5896373056994819,0.6386840341593417
0.6001725625539258,0.6478110682603907
0.6031537450722734,0.6498314822908768
0.5774090137657929,0.6177179842201791
0.6027155704461294,0.6531453500144346
0.5647267094489932,0.6103713432943673
0.590325417766051,0.6466290677190805
0.5980244433283107,0.655035060943387
0.581719334012912,0.6261827289171509
0.5671641791044776,0.6408203883473921
0.5971957763545093,0.6403025319566579
0.5703718123418338,0.6226394570841185
0.5914271953764649,0.6458915545039225
0.5749018141013652,0.6224168416394127
0.5714285714285714,0.6233629966730376
0.5951498821151903,0.6492580763896131
0.5938015166501813,0.649525493455489
0.5759628411070253,0.6282931504996483
0.5957059679767104,0.6521514747149945
0.5770127308588847,0.6238859559680789
0.5904543217976054,0.642161791543766
0.5849330537183417,0.6158916797389968
0.6032129901537399,0.6558524685386915
0.5850432423266068,0.6454094158610766
0.5704134366925064,0.6263926322723242
0.5897644191714053,0.6432529632728617
0.5835574337303112,0.6333574212300767
0.5965473145780051,0.6611124599781595
0.5975258430774445,0.6502978410990151
0.6033126986782666,0.6674329593262636
0.5946734768332725,0.6529128111491721
0.5864661654135338,0.6290473191553896
0.5979695431472081,0.6553558946606829
0.5509484639919423,0.5964730966792169
0.5866965620328849,0.6303057138507636
0.5786163522012578,0.6160984920202642
0.594553706505295,0.6517261246933517
0.5820229081731703,0.6176703564574817
0.58328530259366,0.6265129174584204
0.5844903487978327,0.6312350537334994
0.5773663988822914,0.6242015704895092
0.56911997189531,0.6051028096472515
0.5948808473080318,0.6596696219073295
0.5675302245250432,0.6178671684234287
0.5937863432463865,0.6551132451892018
