threshold,precision,recall,f1,model
0.33,0.8317040951122854,0.9283397227956355,0.8773690078037905,gnn
0.34,0.8336870026525199,0.9268652314951342,0.8778103616813294,gnn
0.35000000000000003,0.8375566817818085,0.9259805367148334,0.8795518207282913,gnn
0.36000000000000004,0.8421618714708254,0.9236213506340313,0.8810126582278481,gnn
0.37,0.844138303619665,0.9215570628133294,0.8811504300014098,gnn
0.38,0.8465924518055933,0.9194927749926275,0.8815380265761945,gnn
0.39,0.8489228251977093,0.9180182836921262,0.8821195806177388,gnn
0.4,0.8525940159209443,0.9159539958714243,0.8831390389536536,gnn
0.41000000000000003,0.85509246480817,0.9135948097906222,0.8833761049329911,gnn
0.42000000000000004,0.8579750346740638,0.9121203184901209,0.8842195540308748,gnn
0.43,0.861328125,0.9103509289295193,0.8851612903225806,gnn
0.44,0.8644020213363279,0.9079917428487172,0.885660865813318,gnn
0.45,0.8684954751131222,0.9056325567679151,0.8866753284250036,gnn
0.46,0.8719408081957882,0.9035682689472132,0.8874728457639391,gnn
0.47000000000000003,0.8731066018862532,0.9009141846063108,0.8867924528301887,gnn
0.48000000000000004,0.8754662840746055,0.8997345915659097,0.887434554973822,gnn
0.49,0.8790066416401964,0.897670303745208,0.8882404435366209,gnn
0.5,0.8818920487521764,0.8961958124447066,0.888986397542782,gnn
0.51,0.8835855646100116,0.8953111176644057,0.8894096967921489,gnn
0.52,0.8862240421175782,0.8935417281038042,0.8898678414096917,gnn
0.53,0.8891828336272781,0.8920672368033029,0.8906226998380686,gnn
0.54,0.8907587835842928,0.8897080507225007,0.8902331071112423,gnn
0.55,0.8938315539739027,0.8888233559422,0.8913204199319829,gnn
0.56,0.8978799641684084,0.8867590681214981,0.8922848664688428,gnn
0.5700000000000001,0.9010526315789473,0.8835151872603951,0.8921977367480644,gnn
0.5800000000000001,0.9027484143763214,0.8814508994396933,0.8919725455088033,gnn
0.59,0.9058894960534305,0.879976408139192,0.8927449513836948,gnn
0.6,0.9086744043982895,0.8773223237982896,0.8927231807951987,gnn
0.61,0.9123885644020904,0.8752580359775878,0.893437688139675,gnn
0.62,0.9146831530139103,0.8726039516366854,0.8931482040446725,gnn
0.63,0.9157111868608615,0.8714243585962843,0.8930190389845875,gnn
0.64,0.9177570093457944,0.8687702742553819,0.8925920315103772,gnn
0.65,0.9189865498905224,0.8664110881745798,0.8919247115968427,gnn
0.66,0.9208294062205467,0.8643468003538779,0.8916945543048372,gnn
0.67,0.9223729883243925,0.8619876142730758,0.8911585365853658,gnn
0.68,0.9254441624365483,0.8602182247124742,0.8916399205257527,gnn
0.6900000000000001,0.9279566464775263,0.8584488351518726,0.8918504901960784,gnn
0.7000000000000001,0.9315552699228792,0.8549100560306694,0.8915884976164847,gnn
0.7100000000000001,0.9338069099128189,0.8528457682099676,0.8914919852034525,gnn
0.72,0.935672514619883,0.8493069890887643,0.8904003710001546,gnn
0.73,0.9369074861065708,0.8451784134473607,0.8886821705426357,gnn
0.74,0.9384666008555446,0.841049837805957,0.8870917573872473,gnn
0.75,0.9419568822553898,0.8375110586847537,0.8866687480487043,gnn
0.76,0.9442590120160214,0.8342671778236508,0.8858619069985909,gnn
0.77,0.9465905273765536,0.831023296962548,0.8850502512562815,gnn
0.78,0.949255751014885,0.8274845178413447,0.8841972585473452,gnn
0.79,0.9519099590723056,0.8230610439398408,0.8828087932943223,gnn
0.8,0.9521843825249398,0.8162783839575346,0.879009209272785,gnn
0.81,0.9550991994430909,0.8092008257151283,0.876117496807152,gnn
0.8200000000000001,0.956811797752809,0.8035977587732233,0.8735374258695304,gnn
0.8300000000000001,0.9582152974504249,0.7979946918313182,0.8707964601769912,gnn
0.8400000000000001,0.960644007155635,0.7918018283692126,0.8680892337536372,gnn
0.85,0.9624548736462094,0.7861987614273076,0.8654439214413244,gnn
0.86,0.9650018228217281,0.7805956944854026,0.863058363221389,gnn
0.87,0.9676589489158398,0.7764671188439988,0.8615837696335078,gnn
0.88,0.9695958472376714,0.771158950162194,0.8590670170827858,gnn
0.89,0.9711286089238845,0.7637864936596874,0.8550676791020139,gnn
0.9,0.9730243161094225,0.7552344441167798,0.850406774032874,gnn
0.91,0.9749421742482652,0.7457976997935712,0.8451127819548873,gnn
0.92,0.9783805031446541,0.7340017693895606,0.8387531592249368,gnn
0.93,0.9791583166332666,0.7204364494249484,0.8301053346924907,gnn
0.9400000000000001,0.9824058919803601,0.7080507225007372,0.8229648671808055,gnn
0.9500000000000001,0.9853249475890985,0.6930109112356237,0.8137119113573407,gnn
0.9600000000000001,0.9874730021598273,0.6741374225892067,0.8012618296529969,gnn
0.97,0.9896814715118888,0.6505455617811855,0.7850533807829182,gnn
0.98,0.992326139088729,0.6101445001474491,0.7556610664718773,gnn
0.99,0.9952681388012619,0.5582424063698024,0.7152843378046476,gnn
